iter	RMSE
275	1525.235026
276	1524.836631
277	1524.474377
278	1523.839005
279	1523.478844
280	1522.985504
281	1522.489513
282	1521.628101
283	1521.196106
284	1520.883912
285	1520.709769
286	1520.354166
287	1520.05535
288	1519.611998
289	1519.038997
290	1518.196416
291	1517.997772
292	1517.590597
293	1517.117156
294	1516.607538
295	1516.07369
296	1515.74028
297	1515.251849
298	1514.824888
299	1514.413947
300	1513.834154
301	1513.302191
302	1512.76017
303	1512.294729
304	1512.047074
305	1511.583423
306	1511.339742
307	1510.569272
308	1510.197442
309	1509.908798
310	1509.665157
311	1509.031087
312	1508.643704
313	1508.344483
314	1507.94963
315	1507.465536
316	1507.110453
317	1506.576055
318	1506.345143
319	1506.020945
320	1505.924297
321	1505.108431
322	1504.864944
323	1504.469175
324	1504.007016
325	1503.336272
326	1502.79478
327	1502.36951
328	1502.137973
329	1501.585034
330	1501.407569
331	1500.952599
332	1500.436151
333	1499.751326
334	1499.180291
335	1498.828598
336	1498.381586
337	1497.952841
338	1497.671333
339	1497.258994
340	1496.947933
341	1496.485212
342	1495.913784
343	1495.345249
344	1495.047573
345	1494.489816
346	1494.179438
347	1493.726665
348	1493.385891
349	1492.982099
350	1492.701396
351	1492.346812
352	1491.993552
353	1491.761824
354	1491.426571
355	1491.069714
356	1490.52553
357	1489.859711
358	1489.002222
359	1488.459788
360	1488.020513
361	1487.819805
362	1487.499807
363	1487.136219
364	1486.930011
365	1486.63079
366	1486.173859
367	1485.964401
368	1485.753461
369	1485.253902
370	1484.837471
371	1484.581937
372	1484.097691
373	1483.237985
374	1482.767887
375	1482.361774
376	1481.98002
377	1481.431366
378	1480.961845
379	1480.680934
380	1480.357744
381	1480.105517
382	1479.753476
383	1479.441534
384	1478.925724
385	1478.605114
386	1478.28287
387	1477.883419
388	1477.453118
389	1476.997664
390	1476.284591
391	1475.961955
392	1475.440836
393	1474.964707
394	1474.639882
395	1474.132558
396	1473.780266
397	1473.520838
398	1473.040179
399	1472.502406
400	1472.043743
401	1471.800136
402	1471.631479
403	1471.426172
404	1471.072694
405	1470.882041
406	1470.649438
407	1470.342554
408	1470.010889
409	1469.779076
410	1469.390779
411	1468.634936
412	1468.252274
413	1467.730045
414	1467.370756
415	1467.061507
416	1466.773257
417	1466.623908
418	1466.44862
419	1466.111252
420	1465.634859
421	1465.373524
422	1464.941246
423	1464.484717
424	1464.185612
425	1463.908548
426	1463.688727
427	1463.410572
428	1463.185815
429	1462.816046
430	1462.439257
431	1462.229255
432	1461.985414
433	1461.651672
434	1461.249648
435	1460.939777
436	1460.690286
437	1460.34768
438	1459.971081
439	1459.604685
440	1459.242404
441	1458.835038
442	1458.356208
443	1458.210233
444	1457.914215
445	1457.556519
446	1457.188691
447	1456.765475
448	1456.417744
449	1456.269023
450	1455.883237
451	1455.151145
452	1454.965149
453	1454.4225
454	1454.107694
455	1453.794394
456	1453.669328
457	1453.153799
458	1452.795192
459	1452.567344
460	1452.361857
461	1452.130032
462	1451.715969
463	1451.483045
464	1451.258431
465	1450.958142
466	1450.518265
467	1450.327539
468	1449.917916
469	1449.592768
470	1449.361751
471	1449.031719
472	1448.790154
473	1448.543566
474	1448.208122
475	1447.754729
476	1447.487454
477	1447.283804
478	1447.189404
479	1446.867607
480	1446.595188
481	1446.234203
482	1446.117664
483	1445.836175
484	1445.653518
485	1445.388799
486	1445.095903
487	1444.786421
488	1444.621321
489	1444.241725
490	1443.625529
491	1443.342921
492	1443.132278
493	1442.964313
494	1442.634306
495	1442.426256
496	1442.176892
497	1441.780523
498	1441.532189
499	1441.290733
500	1440.85937
501	1440.593514
502	1440.384317
503	1440.145612
504	1439.728812
505	1439.566922
506	1439.430954
507	1438.982424
508	1438.669594
509	1438.317759
510	1438.048575
511	1437.699289
512	1437.282789
513	1437.007032
514	1436.743019
515	1436.140389
516	1435.862433
517	1435.145903
518	1434.730129
519	1434.456724
520	1434.159965
521	1434.097175
522	1433.94287
523	1433.616354
524	1433.420501
525	1433.0809
526	1432.587241
527	1432.39655
528	1432.022483
529	1431.889351
530	1431.66046
531	1431.421776
532	1431.291161
533	1430.974603
534	1430.760711
535	1430.499758
536	1430.270541
537	1429.868707
538	1429.650549
539	1429.463035
540	1429.249573
541	1429.046696
542	1428.865784
543	1428.511241
544	1428.273453
545	1428.017048
546	1427.778264
547	1427.567777
548	1427.057753
549	1426.849635
550	1426.599075
551	1426.332347
552	1426.083564
553	1425.840265
554	1425.657552
555	1425.332267
556	1425.223402
557	1424.957172
558	1424.868647
559	1424.611332
560	1424.373335
561	1424.163404
562	1423.885807
563	1423.73282
564	1423.473844
565	1423.29253
566	1422.897446
567	1422.775478
568	1422.630729
569	1422.323104
570	1421.988515
571	1421.742201
572	1421.502
573	1421.321871
574	1421.177239
575	1420.88334
576	1420.68756
577	1420.417878
578	1420.256804
579	1419.999605
580	1419.87737
581	1419.574096
582	1419.398421
583	1419.010458
584	1418.884233
585	1418.453269
586	1418.195951
587	1417.996694
588	1417.800597
589	1417.590386
590	1417.382296
591	1417.097039
592	1416.968626
593	1416.77098
594	1416.575271
595	1416.300792
596	1416.14423
597	1415.915476
598	1415.765694
599	1415.602875
600	1415.379401
601	1415.203716
602	1414.997142
603	1414.753129
604	1414.510038
605	1414.41233
606	1413.967951
607	1413.556517
608	1413.340192
609	1413.135356
610	1412.94135
611	1412.487149
612	1412.230731
613	1411.884561
614	1411.740389
615	1411.598978
616	1411.312046
617	1410.991552
618	1410.634554
619	1410.486736
620	1410.32979
621	1410.167881
622	1409.995941
623	1409.530273
624	1409.256734
625	1408.953677
626	1408.825516
627	1408.617161
628	1408.394758
629	1408.254276
630	1408.013009
631	1407.88824
632	1407.699867
633	1407.466158
634	1407.270715
635	1407.024527
636	1406.844856
637	1406.628336
638	1406.388121
639	1406.191442
640	1405.980962
641	1405.575345
642	1405.46293
643	1405.26867
644	1405.087902
645	1404.935861
646	1404.560633
647	1404.408686
648	1404.205578
649	1404.00671
650	1403.900638
651	1403.795629
652	1403.704475
653	1403.536889
654	1403.40313
655	1403.283877
656	1403.143966
657	1402.914872
658	1402.413104
659	1402.167489
660	1402.02024
661	1401.900599
662	1401.693053
663	1401.498935
664	1401.2705
665	1400.951373
666	1400.779087
667	1400.472799
668	1400.355317
669	1400.01716
670	1399.806207
671	1399.448381
672	1399.323192
673	1399.119171
674	1398.833416
675	1398.663727
676	1398.237472
677	1398.059042
678	1397.966195
679	1397.835346
680	1397.670692
681	1397.439697
682	1397.291863
683	1397.214997
684	1397.059833
685	1396.765411
686	1396.482073
687	1396.285337
688	1396.114684
689	1396.018529
690	1395.65187
691	1395.312635
692	1395.003006
693	1394.906532
694	1394.753508
695	1394.573997
696	1394.367198
697	1394.177774
698	1394.042721
699	1393.884844
700	1393.550081
701	1393.224267
702	1393.058312
703	1392.80819
704	1392.587661
705	1392.472756
706	1392.329964
707	1392.18104
708	1391.990693
709	1391.766816
710	1391.610561
711	1391.427562
712	1391.18878
713	1391.051893
714	1390.78079
715	1390.615109
716	1390.371072
717	1390.157002
718	1389.976416
719	1389.609693
720	1389.332024
721	1389.184201
722	1388.983196
723	1388.895859
724	1388.710259
725	1388.584363
726	1388.529924
727	1388.35335
728	1388.184418
729	1388.021851
730	1387.899092
731	1387.713524
732	1387.445106
733	1387.123925
734	1386.912145
735	1386.67373
736	1386.542273
737	1386.368699
738	1386.069063
739	1385.897966
740	1385.699743
741	1385.519515
742	1385.412796
743	1385.180401
744	1384.914452
745	1384.753744
746	1384.650648
747	1384.521164
748	1384.382303
749	1384.111362
750	1383.878304
751	1383.547667
752	1383.331752
753	1383.162888
754	1382.75584
755	1382.61358
756	1382.30689
757	1382.136189
758	1381.935993
759	1381.76701
760	1381.569504
761	1381.301223
762	1381.172184
763	1381.06904
764	1380.87641
765	1380.66429
766	1380.420125
767	1380.308476
768	1379.869097
769	1379.727819
770	1379.572797
771	1379.439647
772	1379.262729
773	1379.142612
774	1379.029476
775	1378.923792
776	1378.782316
777	1378.611571
778	1378.503724
779	1378.284844
780	1378.010091
781	1377.79454
782	1377.638374
783	1377.509314
784	1377.397352
785	1377.235163
786	1377.105656
787	1376.851044
788	1376.70269
789	1376.309185
790	1376.18125
791	1375.993544
792	1375.834821
793	1375.739511
794	1375.510768
795	1375.407765
796	1375.191391
797	1375.061068
798	1374.868698
799	1374.730695
800	1374.589651
801	1374.415046
802	1374.292362
803	1374.026276
804	1373.886244
805	1373.723046
806	1373.587906
807	1373.24558
808	1373.042813
809	1372.957324
810	1372.556422
811	1372.396072
812	1372.233318
813	1372.142716
814	1371.859721
815	1371.560129
816	1371.363006
817	1371.228652
818	1371.087926
819	1370.938225
820	1370.769718
821	1370.685875
822	1370.520824
823	1370.389187
824	1370.245422
825	1370.150216
826	1370.038636
827	1369.849278
828	1369.758426
829	1369.515391
830	1369.407207
831	1369.245596
832	1369.040056
833	1368.923985
834	1368.805162
835	1368.694633
836	1368.490286
837	1368.363897
838	1368.194297
839	1368.086083
840	1367.935918
841	1367.835962
842	1367.761234
843	1367.656997
844	1367.549024
845	1367.414715
846	1367.30848
847	1367.149776
848	1366.991719
849	1366.901331
850	1366.763695
851	1366.68243
852	1366.571917
853	1366.472927
854	1366.30583
855	1366.138898
856	1366.045768
857	1365.903727
858	1365.754856
859	1365.602751
860	1365.397756
861	1365.306488
862	1365.1656
863	1365.030236
864	1364.899242
865	1364.647116
866	1364.591794
867	1364.378557
868	1364.27615
869	1364.13279
870	1364.037502
871	1363.867458
872	1363.720167
873	1363.636671
874	1363.495279
875	1363.184283
876	1362.932896
877	1362.481391
878	1362.30804
879	1362.198635
880	1362.13267
881	1362.036151
882	1361.830244
883	1361.717389
884	1361.523352
885	1361.398781
886	1361.234426
887	1361.085065
888	1360.955977
889	1360.832977
890	1360.71344
891	1360.605661
892	1360.513908
893	1360.368069
894	1360.141265
895	1359.990407
896	1359.821768
897	1359.707155
898	1359.399673
899	1359.155008
900	1359.040312
901	1358.840437
902	1358.735494
903	1358.55666
904	1358.494806
905	1358.274758
906	1358.158501
907	1358.049872
908	1357.935375
909	1357.872823
910	1357.815761
911	1357.665564
912	1357.52185
913	1357.360961
914	1357.170017
915	1357.049682
916	1356.827792
917	1356.691655
918	1356.496243
919	1356.341972
920	1356.206113
921	1356.030548
922	1355.947342
923	1355.78803
924	1355.689873
925	1355.443583
926	1355.293034
927	1355.181162
928	1354.998093
929	1354.883061
930	1354.808816
931	1354.755406
932	1354.650838
933	1354.563967
934	1354.495464
935	1354.372957
936	1354.266349
937	1354.161879
938	1354.003986
939	1353.851022
940	1353.778803
941	1353.564521
942	1353.481733
943	1353.203803
944	1353.099263
945	1352.876362
946	1352.81002
947	1352.690851
948	1352.567624
949	1352.270532
950	1352.159304
951	1352.082955
952	1351.980626
953	1351.881894
954	1351.765991
955	1351.672704
956	1351.404774
957	1351.107693
958	1351.032565
959	1350.891897
960	1350.779406
961	1350.57459
962	1350.374429
963	1350.237939
964	1350.080288
965	1349.950435
966	1349.758076
967	1349.657972
968	1349.513644
969	1349.472881
970	1349.382793
971	1349.21956
972	1349.066029
973	1348.802505
974	1348.610652
975	1348.410359
976	1348.367952
977	1348.192754
978	1348.129307
979	1348.030881
980	1347.951212
981	1347.625711
982	1347.524451
983	1347.280485
984	1347.168465
985	1346.986576
986	1346.869869
987	1346.793526
988	1346.630371
989	1346.497191
990	1346.393553
991	1346.284479
992	1346.166505
993	1346.000722
994	1345.862734
995	1345.784416
996	1345.585338
997	1345.392767
998	1345.214099
999	1345.106948
